,Land_Cost,Land_area,Cost_per_m2,Land_location,land_description
77,"KSh 345,000,000",,Null,"James Gichuru, Lavington","Located along James Gichuru road Lavington 1 or 2 Acres commercial land, rectangular shape on sewer good for office blocks, hotels, institutions or any type of commercial. Just near The Social House in Lavington closer to the Lavington mall. It is 1 Acre plot with 4 bedrooms bungalow plus Dsq. Next plot is also for sale you could easily get 2 acres land all together. One acre price is 345,000,000 each for two acres price is 690m. For this and more options contact Lavington Property Management"
78,"KSh 27,000,000",1 ac,"KSh 27,000,000 / ac",Thika Road,"Ananas business park is a 60-acre industrial mixed-use development, zoned for commercial, light industrial, office, and social amenities.
A set-up reflecting a demand-driven mix of the land uses in this area is evidenced by the growing number of industries and business hubs.

Located along the Thika- Garissa highway, close to other economic drivers and industrialists and neighboring the populous suburbs gives it a strategic potential.

The land has been subdivided into plots of 1-acre targeting investors and industrialists seeking to set up commercial light industries and business hubs.

the key developments already under development include a thriving shopping mall- Ananas mall, CTM tile-Ke..."
79,"KSh 310,000,000",4047 m²,"KSh 76,600 / m²","Muthangari Road, Lavington","Very prime 1 Acre rectangular plot on sewer good for redevelopment into high end apartments, office blocks or any type of commercial. Located along muthangari road near valley arcade shopping center. For this and more options contact Lavington Property Management."
80,"KSh 5,500,000",,Null,"Migaa Golf Estate, Kiambu Road","Wealthlink presents a prime residential 1/8 acre piece of land in a controlled gated community by the name Migaa Golf Estate , Past Kirigiti, Kiambu Town
The price is discounted from the actual price of 6M for a cash quick buyer.
It is flat with red soil, clear access roads with clear natural drainage, water and electricity on site, a 24 hours security manned gate.
Already and rapidly being built up and soon it is a complete golf estate with mixed developments established and coming up.
Golf, Hospital, Club house, schools, shoppping centre, recreational park etc
Fully on the tarmac in a fresh and green environment
With clean documentations, valid title without any encumbrances.
Contact us..."
81,"KSh 150,000,000",4046 ft²,"KSh 37,074 / ft²","Near AAR, Kiambu Road","Are looking for an ideal commercial plot?
Find one touching tarmac along Kiambu rd near AAR hospital. 
It close proximity to schools,Malls like Ridgeways mall,Naivas supermarket,Ciata mall,Quick mart etc........hospitals and recreational centres.
Its strategic location comes with all basic and socio- economic amenities.
Title documents are readily available for due diligence and clarifications.
Quality is pure red soil on a flat levelled ground,fully serviced with water, electricity and infrastructure.
This is a golden opportunity for high end investors and developers.
HURRY! HURRY! HURRY!
SERIOUS OFFERS INVITED!!"
82,"KSh 1,700,000,000",,Null,Kileleshwa,"The property is conveniently located with general access from Oloitoktok Road via Migori Road, which can be found between Kasuku Centre Shopping Mall and Chabari Court, and is only about 150 meters away from the subject property. The property is adjacent to Chabari Court to the north and northeast, and approximately 30 meters east and northeast of Kasuku Centre Shopping Mall. It is also adjacent to Kijani Willows to the south. The exact coordinates of the property are as follows: 1°16'27.5""S 36°47'44.9""E (-1.274292, 36.795803)."""
83,"KSh 73,000,000",1 ac,"KSh 73,000,000 / ac",Karen,"Come and view the Fabulously serviced 1-acre parcels available in Karen.
 
Experience the essence of quality SIGNATURE Lifestyle.

Some of the features on this unique leafy neighbourhood include: 
• Beautifully dry stone perimeter wall with an electric fence and a 24/7 guard-patrol walkway 
• Heavy-duty cabro paved roads throughout the property, with hidden drainage and electric cables 
• Attractive street lighting 
• Large underground water reservoir and a borehole to serve all plots 
• Gazebo club entertainment and social get together area 
• Kiddies play area 
• Tennis court, Basketball court and a 7 aside football field, among others

PRICE- FROM KSHS. 61,000,000"
84,"KSh 78,000,000",,Null,Karen,"1 Acre For Sale

This spectacular 1 acre is fit for residential development. It is ideal for the development of a stand-alone house.

Feel free to contact me to schedule a viewing."
85,Price not communicated,1 ac,Null,"Tende Drive, Lavington","For sale is a strategic 1-acre piece of land on Huri Close, on the prestigious side of Lavington, off Tende Drive, in Nairobi County 

The subject property is flat and completely secured on all sides by similar prime residential properties. There is no road frontage that borders the property to speak of, making it extremely secure on all sides. The property currently has over 10,000 sq feet of usable space and sits on an acre of land with mature trees. Tende Drive is a non-destination crescent, meaning it is not a road that leads to another part of Lavington, so all the traffic coming up Tende Drive is purposeful. This means that there are no vehicles or foot traffic that are passing through..."
86,"KSh 8,500,000",0 ac,Null,"Uthiru, Kabete., 1019n/1020p","Prospect of a commercial cum residential venture Kabete off Waiyaki Way.
 Well placed undeveloped plots.
 Plot size: 0.19 acres(50 by 140) plots 
 Regular rectangular shaped plot.
 Flat level landscape plot.
 Good Drainage
 Cosmopolitan society
Features include:-
 Water and Electricity on Site.
 Sewer line system on site
 Ready freehold title deeds
Neighbourhood Influences include:-
 University of Nairobi Kabete Campus
 Vetlab Golf Club.
Site Influences include:-
 Hospitals.
 Excellent schools and colleges.. 
 Close to Thika superhighway.
 Well-maintained neighbourhood.
 Safe and quiet streets
 Convenient public transportation
Potential usage:-
 Residential.
 Business Ente..."
87,"KSh 100,000,000",10359 m²,"KSh 9,653 / m²",Industrial Area,"2.56 acres of strategically located industrial land just a few hundred meters off Enterprise Road which is a major arterial road within the industrial area of Nairobi. The land is also approx. a few hundred meters away from Mombasa Road making it perfect for a factory or warehousing development.

* 67 years left on the lease.
* The black cotton soil has been excavated and the plot has been backfilled and leveled.
* Flat and rectangular-shaped plot.
* Wide tarmacked access road.
* Electric fenced high perimeter walls.
* Clean title deed, free from all encumbrances.
* Land rent and rates paid up to date.

Asking Price: USD 1 Million per acre"
88,"KSh 595,000",0 ac,Null,"KANGUNDO ROAD, JOSKA JOSKA, Joska, Kamulu Joska Malaa","Size: 50 x100

Title deeds for these project are ready for transfers
Location: Sunshine area, Joska , along the Old Kangundo Road, Neighboring Mama Ngina Children’s Home

Amenities: There is water supply, power on site, and roads compacted.
Being an already developed place, our neighbors are building & others already settled. You are guaranteed of a safe and lively neighboorhood.

WE HAVE LESS THAN 8 PLOTS REMAINING

Book yourself a spot TODAY. Call us to organize for a FREE SITE VISIT!

CALL: +2547 6912 4444"
89,"KSh 110,000,000",,Null,Kilimani,"Prime Plot for Sale

A great piece of property for redevelopment in an upcoming area within the greater Kilimani. It is a 0.64 acre in size and is 500M from Ngong Road (opposite the War Cemetery from Matatu Stage Kenol), this property is well place to accommodate a high rise apartment development. Easily accessible to schools and shopping malls like the Junction, Hub as well as Watermark.
It is connected to all mains and is rectangular in shape with no slope."
90,"KSh 40,000,000",,Null,"Runda, Westlands","Half Acer land for sale in runda
The plot is in a gated community of 6 plots
Has already connected with water and the cables for the electricity
The land is 0.1996 exactly 0.493 Acer's
Asking price@ 40m negotiable"
91,"KSh 14,000,000",0 ha,Null,"KERARAPON DRIVE, Karen","The plot has a gentle slope with a nice view, Red soil, ready documents, freehold title. Developed neighbourhood. within a gated community. About 5km from the Hub mall and karen shopping centre. The plot has two titles eighth an acre for each. Book us for the viewing today at no cost."
92,"KSh 65,000,000",1 ac,"KSh 65,000,000 / ac",Karen Hardy,"Beautiful one acre piece of land in the heart of Karen , Nairobi. Is in an area with basic social amenities eg tarmacked road , water and electricity which are already on site , good hospitals and schools which are nearby , etc. Is with mature natural trees ."
93,"KSh 56,000,000",0 m²,Null,"Mumwe, Runda, Westlands","Exclusive Real Estate Opportunity in Runda Mumwe
 
Experience the epitome of luxury living with this prime half-acre property in Runda Mumwe. Priced at 56M, this upscale gem is meticulously crafted for those who appreciate sophistication and tranquility.

Key Features:
- Size: Half-acre of pristine land.
- Location: Runda Mumwe, the epitome of elegance.
- Ideal for: Discerning individuals seeking upscale living.

Why Choose This Property:
1. Luxurious Surroundings: Immerse yourself in a community of elegance and prestige.
2. Strategic Location: Enjoy the convenience of easy access to amenities and top-notch security.
3. Unmatched Views: Revel in breathtaking views that redefine the meaning o..."
94,"KSh 55,000,000",,Null,Muthaiga,"Half acre land for sale on muthaiga North
The land it's on gated community 
With good security and tarmac road
Electricity and water are well connected
Good neighbors hood and good location
Asking price @ 55 m negotiable"
95,Null,Null,Null,Null,Null
96,"KSh 55,000,000",1 m²,"KSh 55,000,000 / m²","Ngong View Estate, Karen","This property is the perfect development plot with half of it cleared and half with a beautiful semi-forested section at the end. Two houses could easily be built on this property and there would still be room for a beautiful garden at the bottom of the plot. It is also located in a secure estate with a barrier and security 24 hours a day. The plot has easy access to water and power and also has red soil. An electric fence surrounds the plot.
 
This property is located in a serene part of Karen within easy reach of Karen Country Club, The Hub as well as Karen & Hardy shopping centres. It is also within 10 minutes of Hillcrest, Brookhouse & Banda schools."
97,"KSh 33,000,000",,Null,Karen,"0.5 Acres Redevelopment Land

Embrace the beauty of Karen, one of Nairobi's most prestigious neighborhoods, with this remarkable 0.5-acre parcel of land. Nestled in a highly sought-after area, this property presents an incredible opportunity for redevelopment.

This land presents endless possibilities, where you can create a lucrative investment project. With proximity to essential amenities and educational institutions, this location offers the perfect blend of convenience and luxury.

Don't miss out on this golden opportunity in Karen, Nairobi.

Property Features:

Size: 0.5 acres of prime land
Adjacent to La Salle Catholic School
Approx. 2.7 KM from the Galleria Shopping Mall and the newl..."
98,"KSh 27,000,000",,Null,"Muthithi, Kiambu Road","Prime residential Half acre plot for sale Muthithi kiambu rd
 Features a residential ot all red soil flat in the leafy Muthithi surbabs
A very quiet location and very close kiambu rd. Title available 
Asking 27M asking"
99,"KSh 57,000,000",,Null,"Kitisuru, Westlands","Wealthlink presents a prime 1/2 acre piece of land in the heart of old kitisuru
Second row from Kitisuru road with a slight gentle slope
Red soil and with mature trees
clean title and valid documentations
contact us for more information and viewing arrangement"
100,"KSh 105,000,000",0 ac,Null,"Mbotela estate, mbotela estate, Makadara","- Located along Jogoo Road 
- Opposite Shell petrol Station Makadara
-Located next to Canon apollo Primary
-Asking price 100 Million O.N.O
-Suitable for commercial development e.g School, Hospital etc
Contact us on 07182**** Show phone number for more det"
101,"KSh 299,000,000",,Null,Kilimani,"0.9 acres redevelopment land

This lovely property is located along George Padmore Road. The land is rectangular, flat with an older model house on the property.

The area is great for residential or mixed use development with many successful completed developments in the area. Currently it is Zoned for Ground + 20 floors.

Call for more details.

Viewing Strictly by appointment"
102,"KSh 260,000,000",,Null,"Brookside, Westlands","In the much sort after area of Westlands is this 0.650 acres plot for redevelopment in Brookside . Located in a quiet and secure environment.
Suitable for high-rise apartments and close to Sarit and other facilities.
Asking price Ksh.260M slightly negotiable.
Viewing only by appointment call 07987**** Show phone number"
103,"KSh 200,000,000",,Null,Kilimani,"0.598 acres of land in prime area in Kilimani off Dennis Prit road.The land is flat and rectangular in shape and has a 3 bedroom bungalow with a 2 bedroom guest wing.It's ideal for redevelopment of high rise apartment, commercial office among others."
104,"KSh 1,200,000,000",,Null,Upper Hill,"""The property is located on Elgon Road, just to the east of KCB Towers, with Madison Blu Hotel situated about 250 metres to the west. It is conveniently situated about 2.5 kilometers south of Nairobi's Central Business District. The coordinates for the property are: Latitude 1°18'08.5""S and Longitude 36°48’48.7""E."""
105,Null,Null,Null,Null,Null
106,"KSh 55,000,000",0 ac,"KSh 110,000,000 / ac","Runda, Westlands","This lovely corner parcel of land is located in a well developed part of Runda.
Slightly over half acre, a mature Kiapple fence borders two sides.
Situated at the corner of a quiet cul de sac, this property is suited for a dream build.

Located near essential services like, schools, offices, malls and hopitals, it is the definition of country living within the city. Proximity to the US embassy and the UN headquarters ensures a secure neighbourhood with a diverse population."
107,"KSh 118,000,000",,Null,Lavington,"0.9 Acres for Sale - Commercial House

This beautiful, unique house is located on the main road of Kabasirian Ave, which is off James Gichuru in Lavington.

It comprises of 5 levels, each level has its own character and flexibility in what it can be used for. There are a total of 10 rooms, ideal for individual offices, and two very large spaces, ideal for open work plan set up for your various departments.

There is also a pool and a large garden area, that can be used for team building activities, break out areas and small scale events.

The house sits on 0.9 acres, can be modified and used as it for a Corporate HQ, Air BnB alike business, or it can be torn down and redone into offices or t..."
108,"KSh 70,000,000",,Null,"Nyari, Westlands","Residential 0.5 of an acre land for sale in a very secured place in Nyari, water and electricity is already in the area, It's surrounded by houses. It's near schools and shopping malls."
109,"KSh 95,000,000",,Null,Kilimani,"Prime Plot For Sale

A great piece of property for redevelopment in an upcoming area within the greater Kilimani. It is a 0.46 acre in size and is 500M from Ngong Road (opposite the War Cemetery from Matatu Stage Kenol), this property is well place to accommodate a high rise apartment development. Easily accessible to schools and shopping mall like the Junction, Hub as well as Watermark.
It is connected to all mains and is rectangular in shape with no slope."
110,"KSh 175,000,000",5 ac,"KSh 35,000,000 / ac","Runda Muringa, Muringa, Runda, Westlands","Prime land for sale Block of 5 acres Runda muringa.
 Selling this land overlooking Githigoro sold as one block.
 Suitable for a gated community, school, church.
 Asking 35M per acre."
111,"KSh 34,000,000",0 ac,Null,"BONGANI EAST, Karen Hardy","Newly established gated community on Bongani we have this 5 plots, 2 remaining with ready documents. Touching the tarmac, water and electricity connected. Contact us today for viewing appointment at no cost."
112,"KSh 330,000,000",,Null,"Parklands, Westlands","Located in Parklands touching Wangari Maathai Road, is this prime piece of land. This land is Currently having a boarding & Lodging house.
This parcel of land is deal for the development of a medium height apartment block or student Hostel block, Commercial development or a shopping center.
Selling Price – KES 330,000,000 equivalent to USD 2,800,000

Viewing by appointment: -
Call/WhatsApp +254 705 5****"
113,"KSh 60,000,000",1 ac,"KSh 60,000,000 / ac",Karen,"KAREN HARDY - ONE ACRE PIECE OF LAND FOR SALE
-Red soil
-Convenient for residential development
-Located along main road
-within secure location
-Few minutes drive from Karen shopping center
-Ownership document in order and readily available"
114,"KSh 125,000,000",0 ac,"KSh 375,375,375 / ac",Ngara,"1/3 Acre plot for sale, Ngara, near CBD.
The property has 12 old apartments with tenants.
Selling price Kshs. 125,000,000 EXCLUSIVE of VAT
Ample parking space
Perimeter wall"
115,"KSh 315,000,000",0 ac,"KSh 335,106,383 / ac",Lavington,"This plot is ideal for redevelopment into high rise residential apartments / flats, in line with the neighborhood character (14 floors subject to obtaining necessary approvals). The property measures approximately 0.96 acres, freehold, in a cul-de-sac and on red soil. The land has a habitable 4 bedroom house that has the potential to generate high rental income. The property’s strategic location (in a cul-de-sac) and size offer a golden opportunity to purchase an excellent plot ideal for redevelopment.

LOCATION
The property has close and easy access to various leisure shopping and entertainment complexes such as the Valley Arcade, Jaffrey Sports Club Ground, Lavington Mall and Lavington Cur..."
116,"KSh 55,000,000",,Null,"Muthaiga North, Muthaiga","Wealthlink presents a super prime residential half an acre in the heart of Muthaiga North.
Located in a secure highly developed gated community estate.
It is flat with red soil and with clean documentation and title deed ready for development.
Contact us for more information and viewing arrangements."
117,"KSh 1,200,000,000",2 ac,"KSh 480,000,000 / ac","ngong road, Ngong Road","2.5 ACRE LAND PARCEL FOR SALE - NGONG ROAD
Available for sale is this prime land in Kilimani Area with the following features;-
~ 2.5 acre piece of land 
~ Located along Ngong road.
~ The nearest landmarks include the Morningside Office Park, The Adams Arcade, Prestige Plaza
~ The property is highly suitable for both residential and commercial purposes. 
~ Property has minimal developments and currently serves as a car yard and restaurant.
~ Land is serviced with Electricity and water.
~ Freehold title 
The property serves as good investment opportunity with the ease of access from Ngong road and 
It is fairly surrounded by already established and upcoming developments.
~ Sale price Kshs 1.2..."
118,"KSh 48,000,000",0 ac,"KSh 96,000,000 / ac","Muthaiga North, Muthaiga","Residential 0.5acre Muthaiga North for Sale

Located in the heart of Muthaiga is this half acre plot in a gated community of 33 plots fully serviced.
 A perfect square very well drained and red soil
Plot comes has an all round perimeter wall. 
Asking 48M"
119,"KSh 300,000,000",6 ac,"KSh 48,387,097 / ac","Mwitu Road, Karen","Situated in the prime neighbourhood of Mwitu Estate, the property benefits from its serene and secure location. With a frontage to Mwitu Road and a frontage to Mbagathi River the property is easily accessed and idyllic.

This is a 3 bedroom single storey house set on 6.2 acres of mature garden.

The main house features an entrance lobby, visitor's cloakroom a study and a lounge with 2 fireplaces which opens onto the verandah and garden. The house also comprises a dining room, kitchen with a pantry, laundry area, 2 bedrooms with a shared bathroom and an ensuite master bedroom with a fireplace and walk-in wardrobe.

The property also features self-contained staff quarters for 2 with a kitchene..."
120,"KSh 10,000,000",,"KSh 100,000,000 / ac",Imara Daima,"Wealthlink presents a very prime 30*66 vacant plot for immediate sale in Imara Daima, Muimara estate.
In a gated community of controlled development where one can only develop residential villas/Maisonette
In a ready built up area and the plot is sandwiched by neighbours
Water, electricity, sewer on site
24 hours controlled gated security and patrol
Cabro roads and pavements with a well designed drainage
Ready title and clean documentations
Contact us for more information and viewing arrangement."
121,"KSh 140,000,000",2 ac,"KSh 70,000,000 / ac","panafric, Runda, Westlands","We are selling this residential 2 acre block of land at the back of Runda Pan African drive.
The land will be hived from a block of 4acres. Located in an upcoming part of Runda and borders the Canadian staff residence.
Features,
 A beautiful flat terrain, very well drained and red soil. 
The Land is Located in a very safe location in Runda with other home owners round about it.
call us for viewing."
122,"KSh 300,000,000",,Null,"Brookside, Westlands","Half acre plot for sale in Westlands idea for a commercial building or fully furnished and serviced apartment @300m.
It is located within a secure environment,close to schools and shopping malls"
123,"KSh 120,000,000",4047 m²,"KSh 29,652 / m²",Muthaiga,This property is flat located off Thigiri Ridge. It has an old house and mature palm trees and garden. It's prefect for your dream home. Schedule a tour with us today.
124,"KSh 90,000,000",,Null,Ngara,"Unveiling a rare opportunity in Ngara, Nairobi CBD! 

Embrace the potential of a 50x100 plot set amidst the vibrant heart of the city. This prime real estate promises a canvas for your dreams—whether it's commercial development or your own bespoke residence. Nestled within the bustling hub, this plot offers convenience and connectivity. Imagine the possibilities with this generous space, a blank slate awaiting your vision. Unleash your creativity in this sought-after location, where every square foot holds promise. Don't miss this chance to secure your place in the dynamic landscape of Ngara. Your future starts here, in the heartbeat of Nairobi."
125,"KSh 110,000,000",0 ac,"KSh 146,666,667 / ac","Amboseli Lane, Lavington","This plot is ideal for development into multi-dwelling townhouses /maisonettes, in line with the neighborhood character (subject to obtaining necessary approvals).

The property is approx. 0.75 acres and is rectangular in shape with red soils. It is currently vacant and has a gate for security purposes.

The site’s location and shape provide an opportunity to purchase an excellent plot in a strategic location."
126,"KSh 65,000,000",,Null,"Red Hill road, Nyari, Westlands","Prime 1/2 acre plot for sale with water, electronic,flat,red soil,stone wall,in a development area,sorounding with good neighbors, tarmac road , security light,in agated community 24 hours security gurds"
127,"KSh 10,500,000",0 ha,Null,"Kerarapon Drive, Karen",Quick sale! Distress sale! Red soil. Gated community. Option of 2. Ready title deed. Has a gentle slope with perfect scenery. Kerarapon drive is between Karen and Ngong sub county. Call us today for viewing.
128,"KSh 60,000,000",,Null,Karen,"Prime 1 Acre parcel for Sale

This 1 acre is situated in the Kerarapon Drive area and in a super well-developed neighborhood. It is ideal for re-development and could easily accommodate 8 villas each on 0.25 acre as the area regulations allow for the same. The property has a stunning view of the Ngong Hills making it a dream for most home buyers. Kindly give me a call and let's plan for an actual viewing of this beautiful re-development land."
129,"KSh 38,000,000",,Null,"karen, 01, Karen","This prime plot is ideal for residential development. The land has clean documents and the title deed is available for due diligence purposes. This is a golden opportunity for high end investors and its investment is worth the value of your money. 

Selling Price at 38M"
130,"KSh 165,000,000",,Null,Kileleshwa,"This property is located in kileleswa near valley arcade, Yaya centre, Kazuku Centre. It is also near schools and hospitals. This property is ideal for high rise apartments. The asking price is 165M. For viewing arrangements please you can call or Whatsapp Dolal Real Homes."
131,"KSh 4,500,000",0 ha,"KSh 90,000,000 / ha","Lower Kabete, Westlands","-The plot is only 300 meters from the Western bypass in a well developed area as shown from the pictures attached. Only a kilometer from Wangige Town.

-Only 15 kilometers from Nairobi CBD using Lower Kabete road.

-This plot is in a cool developing area "
132,"KSh 95,000,000",1 ac,"KSh 95,000,000 / ac","N/A, Nyari, Westlands","This 1 Acre prime plot is located in Nyari West. In a gated estate surrounded by high-end standalone houses. 24-hour security cameras all around the estate. This land is gradually slopy, has an old house which requires renovation."
133,"KSh 45,000,000",1 ac,"KSh 45,000,000 / ac","Mundenderu Road, Karen","Located in the most tranquil area of Hardy, this is a beautiful plot with lovely mature trees scattered throughout the one acre. It is situated at the back of a small family owned farm and the soft moans of the cows next door add to the serenity of the property.

It also neighbours the IUCN which means the back of the plot is fenced and protected with razor wire.

Amenities include a water connection, hedges and fencing on all perimeters and an access road through the farm."
134,"KSh 75,000,000",,Null,"Runda, Westlands","Runda, Off Ruaka Road
This is a nice and prime half an acre plot located Off Ruaka Road, in Runda. Suitable for residential purposes. Viewing by appointment. Selling at 75M(NEGOTIABLE!!!).For more information kindly contact us."
135,"KSh 40,000,000",,Null,"Runda, Westlands","Half acre land for sale in runda 0.5
The land it's in gated community of complitly 7 house 
We have borehole, perimeter wall, Buck up generator and we'll gardede security
We have done well done electrical fence and CCTV camera all around
Asking prize@ 40m negotiable"
136,"KSh 40,000,000",0 ac,"KSh 80,000,000 / ac","Garden court, Garden Estate, Roysambu","Are you looking for a place to build your dream home if yes This is an ideal plot for you.
Located in a prime area in garden estate. 0.5 acre plot is available for sale.in a serene and secure neighborhood with close proximity to social amenities like malls, restaurants schools and hospitals. 

Features
- Accessible tarmac and cabro road
-The plot is rectangular in shape
-soil type is red soil
-developed neighborhood
- easy connectivity of water and electricity
-24 hrs security within the estate 

For more info/viewing arrangements
Call/sms/WhatsApp"
137,"KSh 32,000,000",0 m²,"KSh 64,000,000 / m²",Karen,"Beautiful half acre residential land at the heart of Karen. Basic social amenities are available eg water and electricity are already on site , good hospitals and schools are nearby, tarmacked road that touches the land etc."
138,"KSh 150,000,000",,Null,"Mzima rd, Lavington","Half acre land situated along Mzima Road, Lavington ideal for redevelopment or investment.
 
Existing on the land is:-
 
• 2 double storey 4 & 5 bedroom units.
• Mains water & electricity connected.
• Perimeter wall with electric all round
 
 
Asking Price: KShs. 150M."
139,"KSh 220,000,000",,Null,"Westlands Area, Westlands","Westlands plot 1/2 acre with 4 old maisonnete for re-development. Price 220m negotiable.
With clean documents.
Close to most social amenities.
The compound is secured by a perimeter wall and a guard.
Viewing only by appointment call us on 07987**** Show phone number ."
140,"KSh 45,000,000",,Null,Karen,Half acres for sale Karen miotoni the land is located along ngong road it's near Karen shopping center along Nandi road it's very secure place it's has ready title
141,"KSh 125,000,000",,Null,Karen,1 63 acres acres for sale Karen the land is allocated along Karen road near kmct Karen or Karen country club it has big tree and small river passing boundering ngong hills
142,"KSh 199,000,000",,"KSh 199,000,000 / ac","Spring Valley, Westlands","Nestled within the most serene and exclusive enclave of Spring Valley, this property epitomizes luxury living at its finest. The neighborhood is renowned for its tranquility, ensuring a peaceful and secluded ambiance for residents to relish. With its proximity to amenities, esteemed schools, and major transportation routes, this address provides convenience without compromising on privacy and sophistication.

This exceptional estate offers an incredible opportunity for both upgrading to modern specifications for luxurious contemporary living and capitalizing on its potential as an investment for multiple dwellings.

 Take advantage of this chance to own a slice of elegance and unlock the pot..."
143,"KSh 100,000,000",,Null,Ruai,"2.5 Acres for sale touching Kangundo road. 
Ideal for Petrol station
Ideal for a mall
Commercial plot
Very Spacious and well-located
Ready titles 
Electricity and good acess"
144,"KSh 35,000,000",,Null,Karen,"These are 28 plots each measuring 1/2acre in Karen plains-Karen


Already subdivided with ready tittle deeds


Water and electricity available


Contact us today

 07043**** Show phone number"
145,"KSh 70,000,000",,Null,Ridgeways,"Two acres for sale along Alozi estate Road, Off Ridgeways Road suitable for development.
Connected to utilities:
Water and electricity available
Red soil
Touching the tarmac
Near braeburn school
Flat gradient topography
Recidential vacant plot"
146,"KSh 600,000,000",2 ac,Null,"Riverside, Westlands","Remarkable 2-acre parcel of land is now available for sale! 

This property is in a prime neighborhood and offers breathtaking views of the surrounding hills and the serene river nearby.

𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗙𝗲𝗮𝘁𝘂𝗿𝗲𝘀:

- 2-acre land parcel with stunning river and hillside views
-Two townhouses and two guest houses included
-Current monthly rental income of KES 300,000 per house
-Residential zoning, suitable for rental spaces or Airbnb accommodations
-Easy access to major roads and highways for convenience and connectivity
-Flexible space for a variety of construction plans

Imagine waking up to the soothing sounds of flowing water and the melodious chirping of birds in the background. T..."
147,"KSh 180,000,000",,Null,Industrial Area,"Approximately 30,000 sqft industrial property located in industrial area along Commercial street off Bunyala road opposite safety house. It is located close to the Kenya institute of Highways and buidling technology, National industrial training authority, Mecol, Pantel Chemical limited and Elgi rubber company limited. It is only 2.5 kms away from Nairobi’s city center. The property is very ideal for anyone seeking showroom, office and workshop space.

Features, Amenities and Provisions:

* Fully fitted offices on 2 floor levels with a separate entry.
* A large open workshop.
* Mezzanine floor that can support heavy machinery.
* Transparent roofing sheets and cyclones for good ventilation an..."
148,"KSh 33,000,000",0 ac,"KSh 66,000,000 / ac",Karen,"Lovely half acre land at the heart of Karen . Is strategically located with basic social amenities eg just 15 min drive to the shopping malls / Karen Country Club , good hospital and schools which are nearby etc."
149,"KSh 427,500,000",4 ac,Null,"Langata South Road, Karen","Fantastic opportunity in Karen! 4.5 acres, prime for commercial development, right on Lang'ata South Road. Priced at 95M per acre. Don't miss out on this lucrative investment in Nairobi's upscale real estate market!"
150,"KSh 140,000,000",1 ac,Null,"Nyari, Westlands","1.3 Acre plot.
• Residential plot.
• With lots of potential.
• Red soil.
• Well drained.
• On a manageable slope.
• With a river frontage.
• Ideally located in a built-up area.
• Can accommodate 2 residential units on 0.5 acre plot each.


Price : Kes 140m"
151,"KSh 550,000,000",2 ac,"KSh 250,000,000 / ac","Tchui Close, Old Muthaiga, Nairobi, Muthaiga","Located within the most sought-after estate of Old Muthaiga in Nairobi.

This 2.2-acre plot is perfectly rectangular in shape and overlooks Karura forest.

The land has an old house on it with beautiful mature trees.

This regular shape plot would make for a great redevelopment plot and zoning can be obtained for up to 4 homes.

Plots that overlook Karura forest are sought after and rarely come by in Nairobi.

Viewings are strictly on appointment.

Price: KES 550M"
152,"KSh 340,000,000",,Null,"Westlands Area, Westlands","Rectangular, perfectly flat land, tucked away between Peponi and General Mathenge. Ideal for a high-rise residential development.

Located minutes to major schools, amenities, community centers, and highways.

With beautiful quiet surroundings, this would be a perfect location for families."
153,"KSh 300,000,000",1 ac,Null,"Tende Drive, Lavington","For sale: Residential land in Lavington.
1 acre land along Tende drive.
The land is within a serene gated community and is very ideal for development such as:
Town houses,
Villas,
Condominiums.
Offices

Features include:
Ready title.
4 bedroom all ensuite house
Red soil. 
Well drained
Excellent accessibility.
Excellent security.
Asking price: Ksh 300M"
154,"KSh 200,000,000",,Null,Lavington,"Prime Residential Land for Sale in Lavington.

It is located in a quiet and serene environment, at the junction of Amboseli rd and serenity rd, next to Holy cross Academy, Lavington. It is also close to Lavington Mall, and other amenities are close by. The land is fenced by a perimeter wall. Water and electricity connection is already on site.
It has a flat topography with mature trees.
The land is open for sale and also for a joint venture. Suitable for residential development. The title deed is ready.

Size of land: 0.9 of an acre.

Asking Price: Ksh 200 Million

The owner has recently acquired a change of user, allowing developers to construct highrise buildings."
155,"KSh 60,000,000",0 ac,"KSh 93,750,000 / ac","Ridgeways lane, Ridgeways","This beautiful 1 acre corner plot is prime for development and is located in one the most scenic areas of Ridgeways.

Set on Ridgeways Lane it touches 2 tarmacked roads and is vacant, rectangular in shape and flat with red soils. In addition, it also has plenty of indigenous tree.

The property is situated approximately 2 kilometers off Kiambu Road, within close proximity to a number of key road networks which include the Northern Bypass and Outering Road, where both roads provide easy access to Jomo Kenyatta International Airport (JKIA).

The infrastructural developments and outstanding social facilities make the area desirable and popular with residential developers and ultimately end user..."
156,"KSh 17,000,000",0 ha,Null,"Ndumboini, Uthiru","Size:100 x 100 ft

Price: Ksh 17,000,000/= Negotiable


This plot is only 100m from an access road that links back to Waiyaki Way.

-It's a corner plot and very ideal for setting up a residential Flat.

-Rental prices for a 2 bedroom are going for ksh 35k and above and 1 bedroom from 20k and above.

-Title deeds are ready for your own due diligence.

Viewing is any day Monday to Saturday prior to one day notice.

Contact:

 07185**..."
